Index,OEM,Model,Launch Announced,Launch Status,Body Dimensions,Body Weight,Body SIM,Display Type,Display Size,Display Resolution,Features Sensors,Platform OS
782,vivo,S1 (China),2019,March","Available. Released 2019,April",162 x 76 x 8.5 mm (6.38 x 2.99 x 0.33 in),189.5 g (6.70 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
783,vivo,Y91i (India),2019,March","Available. Released 2019,March",155.1 x 75.1 x 8.3 mm (6.11 x 2.96 x 0.33 in),163.5 g (5.78 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
784,vivo,Y15S (2015),2015,August","Available. Released 2015,August",131.4 x 66.2 x 9 mm (5.17 x 2.61 x 0.35 in),130 g (4.59 oz),"Dual SIM (Micro-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
785,vivo,Y15 (2013),2013,Discontinued,131.4 x 66.2 x 9 mm (5.17 x 2.61 x 0.35 in),130 g (4.59 oz),"Dual SIM (Micro-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors","4.5 inches,55.8 cm (~64.1% screen-to-body ratio)"
786,VK Mobile,VK4500,2005,Q4",Discontinued,98 x 49 x 16.9 mm (3.86 x 1.93 x 0.67 in),86 g (3.03 oz),Mini-SIM,"TFT,256K colors","2.0 inches,31 x 39 mm
787,VK Mobile,VK800,2005,Q1",Discontinued,79 x 44 x 23.7 mm (3.11 x 1.73 x 0.93 in),79 g (2.79 oz),Mini-SIM,"TFT,256K colors",,128 x 143 pixels
788,Vodafone,Smart V10,2019,May","Available. Released 2019,June",151.3 x 69.9 x 8.2 mm (5.96 x 2.75 x 0.32 in),145 g (5.11 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.9 inches
789,Vodafone,Smart N10,2019,May","Available. Released 2019,May",148.8 x 69.9 x 8.4 mm (5.86 x 2.75 x 0.33 in),160 g (5.64 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","5.67 inches
790,Vodafone,247 Solar,2010,April. Released 2010,May",Discontinued,,,Mini-SIM,"TFT,65K colors",1.44 inches
791,Vodafone,V720,,Discontinued,97 x 46 x 16.8 mm (3.82 x 1.81 x 0.66 in),100 g (3.53 oz),Mini-SIM,"TFT,256K colors","2.0 inches,12.4 cm (~27.8% screen-to-body ratio)","240 x 320 pixels
792,Wiko,Y80,2019,April","Available. Released 2019,April",160 x 76.5 x 8.6 mm (6.30 x 3.01 x 0.34 in),185 g (6.53 oz),"Dual SIM (Micro-SIM/Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
793,Wiko,Sunny3,2019,Q1","Available. Released 2019,Q1",146.7 x 74 x 10 mm (5.78 x 2.91 x 0.39 in),140 g (4.94 oz),"Dual SIM (Micro-SIM,dual stand-by)","TFT capacitive touchscreen,16M colors"
794,Wiko,View3 Pro,2019,February","Available. Released 2019,May",159.5 x 75 x 8.1 mm (6.28 x 2.95 x 0.32 in),184 g (6.49 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
795,Wiko,View3,2019,February","Available. Released 2019,May",159 x 76.5 x 8.2 mm (6.26 x 3.01 x 0.32 in),178 g (6.28 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
796,Wiko,Sunny2 Plus,2017,Available. Released 2017,146.3 x 73.7 x 9.8 mm (5.76 x 2.90 x 0.39 in),165 g (5.82 oz),"Dual SIM (Micro-SIM/Mini-SIM,dual stand-by)","TFT capacitive touchscreen,16M colors","5.0 inches,68.9 cm (~63.9% screen-to-body ratio)"
797,Wiko,Sunny2,2017,Available. Released 2017,126.6 x 66.3 x 11.4 mm (4.98 x 2.61 x 0.45 in),125 g (4.41 oz),"Dual SIM (Micro-SIM,dual stand-by)","TFT capacitive touchscreen,16M colors","4.0 inches,45.5 cm (~54.3% screen-to-body ratio)"
798,Wiko,Sunny Max,2016,Available. Released 2016,128.3 x 66.3 x 13.2 mm (5.05 x 2.61 x 0.52 in),149 g (5.26 oz),"Dual SIM (Mini-SIM,dual stand-by)","TFT capacitive touchscreen,16M colors","4.0 inches,45.5 cm (~53.5% screen-to-body ratio)"
799,Xiaomi,Redmi 9,2020,June 10","Available. Released 2020,June 10",163.3 x 77 x 9.1 mm (6.43 x 3.03 x 0.36 in),198 g (6.98 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
800,Xiaomi,Redmi 10X Pro 5G,2020,May 26","Available. Released 2020,June 06",164.2 x 75.8 x 9 mm (6.46 x 2.98 x 0.35 in),208 g (7.34 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
801,Xiaomi,Redmi 10X 5G,2020,May 26","Available. Released 2020,June 01",164.2 x 75.8 x 9 mm (6.46 x 2.98 x 0.35 in),205 g (7.23 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
802,Xiaomi,Redmi 10X 4G,2020,May 26","Available. Released 2020,May 26",162.3 x 77.2 x 8.9 mm (6.39 x 3.04 x 0.35 in),199 g (7.02 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
803,Xiaomi,Redmi K30i 5G,2020,May 25","Available. Released 2020,June 07",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),,"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
804,Xiaomi,Poco F2 Pro,2020,May 12","Available. Released 2020,May 19",163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in),219 g (7.72 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
805,Xiaomi,Redmi K30 5G Racing,2020,May 11","Available. Released 2020,May 14",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
806,Xiaomi,Redmi Note 9 Pro,2020,April 30","Available. Released 2020,May 05",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
807,Xiaomi,Redmi Note 9,2020,April 30","Available. Released 2020,May 12",162.3 x 77.2 x 8.9 mm (6.39 x 3.04 x 0.35 in),199 g (7.02 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
808,Xiaomi,Mi Note 10 Lite,2020,April 30","Available. Released 2020,May 09",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),204 g (7.20 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
809,Xiaomi,Mi 10 Youth 5G,2020,April 27","Available. Released 2020,May 04",164 x 74.8 x 7.9 mm (6.46 x 2.94 x 0.31 in),192 g (6.77 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
810,Xiaomi,Mi 10 Lite 5G,2020,March 27","Available. Released 2020,May 25",163.7 x 74.8 x 7.9 mm (6.44 x 2.94 x 0.31 in),192 g (6.77 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
811,Xiaomi,Redmi K30 Pro Zoom,2020,March 24","Available. Released 2020,April 04",163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in),218 g (7.69 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
812,Xiaomi,Redmi K30 Pro,2020,March 24","Available. Released 2020,March 27",163.3 x 75.4 x 8.9 mm (6.43 x 2.97 x 0.35 in),218 g (7.69 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
813,Xiaomi,Redmi Note 9S,2020,March 23","Available. Released 2020,April 30",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
814,Xiaomi,Redmi Note 9 Pro Max,2020,March 12","Available. Released 2020,May 12",165.5 x 76.7 x 8.8 mm (6.52 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
815,Xiaomi,Redmi Note 9 Pro (India),2020,March 12","Available. Released 2020,March 17",165.8 x 76.7 x 8.8 mm (6.53 x 3.02 x 0.35 in),209 g (7.37 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
816,Xiaomi,Black Shark 3 Pro,2020,March 03","Available. Released 2020,March 17",177.8 x 83.3 x 10.1 mm (7.00 x 3.28 x 0.40 in),253 g (8.92 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
817,Xiaomi,Black Shark 3,2020,March 03","Available. Released 2020,March 06",168.7 x 77.3 x 10.4 mm (6.64 x 3.04 x 0.41 in),222 g (7.83 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
818,Xiaomi,Mi 10 Pro 5G,2020,February 13","Available. Released 2020,February 18",162.5 x 74.8 x 9 mm (6.40 x 2.94 x 0.35 in),208 g (7.34 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
819,Xiaomi,Mi 10 5G,2020,February 13","Available. Released 2020,February 14",162.5 x 74.8 x 9 mm (6.40 x 2.94 x 0.35 in),208 g (7.34 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
820,Xiaomi,Redmi 8A Pro,2020,April 02","Available. Released 2020,April 02",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
821,Xiaomi,Redmi 8A Dual,2020,February 11","Available. Released 2020,February 18",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
822,Xiaomi,Poco X2,2020,February 04","Available. Released 2020,February 11",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
823,Xiaomi,Redmi K30,2019,December 10","Available. Released 2019,December 20",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
824,Xiaomi,Redmi K30 5G,2019,December 10","Available. Released 2020,January 07",165.3 x 76.6 x 8.8 mm (6.51 x 3.02 x 0.35 in),208 g (7.34 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
825,Xiaomi,Redmi Note 8T,2019,November 06","Available. Released 2019,November 08",161.1 x 75.4 x 8.6 mm (6.34 x 2.97 x 0.34 in),200 g (7.05 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
826,Xiaomi,Mi Note 10 Pro,2019,November 06","Available. Released 2019,November 11",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),208 g (7.34 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
827,Xiaomi,Mi Note 10,2019,November 06","Available. Released 2019,November 11",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),208 g (7.34 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
828,Xiaomi,Mi CC9 Pro,2019,November","Available. Released 2019,November",157.8 x 74.2 x 9.7 mm (6.21 x 2.92 x 0.38 in),208 g (7.34 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
829,Xiaomi,Watch Color,2020,January","Available. Released 2020,January",53.3 x 46.2 x 11.4 mm (2.10 x 1.82 x 0.45 in),,No,"AMOLED capacitive touchscreen,16M colors","1.39 inches
830,Xiaomi,Mi Watch,2019,November","Available. Released 2019,November",44.7 x 36.9 x 12.3 mm (1.76 x 1.45 x 0.48 in),44 g / 56 g (1.55 oz),eSIM,"Super AMOLED capacitive touchscreen,16M colors","1.78 inches
831,Xiaomi,Redmi 8,2019,October 09","Available. Released 2019,October 12",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
832,Xiaomi,Redmi 8A,2019,September 25","Available. Released 2019,September 30",156.5 x 75.4 x 9.4 mm (6.16 x 2.97 x 0.37 in),188 g (6.63 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
833,Xiaomi,Mi Mix Alpha,2019,September","Coming soon. Exp. release 2020,Q2",154.4 x 72.3 x 10.4 mm (6.08 x 2.85 x 0.41 in),241 g (8.50 oz),"Dual SIM (Nano-SIM,dual stand-by)","Flexible Super AMOLED capacitive touchscreen,16M colors"
834,Xiaomi,Mi 9 Pro 5G,2019,September","Available. Released 2019,September",157.2 x 74.6 x 8.5 mm (6.19 x 2.94 x 0.33 in),196 g (6.91 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
835,Xiaomi,Mi 9 Pro,2019,September","Available. Released 2019,September",157.2 x 74.6 x 8.5 mm (6.19 x 2.94 x 0.33 in),196 g (6.91 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
836,Xiaomi,Redmi K20 Pro Premium,2019,September","Available. Released 2019,September",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
837,Xiaomi,Mi 9 Lite,2019,September 16","Available. Released 2019,September 16",156.8 x 74.5 x 8.7 mm (6.17 x 2.93 x 0.34 in),179 g (6.31 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
838,Xiaomi,Redmi Note 8 Pro,2019,August 29","Available. Released 2019,September 24",161.4 x 76.4 x 8.8 mm (6.35 x 3.01 x 0.35 in),200 g (7.05 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
839,Xiaomi,Black Shark 2 Pro,2019,July","Available. Released 2019,August",163.6 x 75 x 8.8 mm (6.44 x 2.95 x 0.35 in),205 g (7.23 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
840,Xiaomi,Mi A3,2019,July 17","Available. Released 2019,July 24",153.5 x 71.9 x 8.5 mm (6.04 x 2.83 x 0.33 in),173.8 g (6.14 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
841,Xiaomi,Redmi 7A,2019,May 24","Available. Released 2019,July 04",146.3 x 70.4 x 9.6 mm (5.76 x 2.77 x 0.38 in),165 g (5.82 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
842,Xiaomi,Mi CC9e,2019,July","Available. Released 2019,July",153.5 x 71.9 x 8.5 mm (6.04 x 2.83 x 0.33 in),173.8 g (6.14 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
843,Xiaomi,Mi CC9,2019,July","Available. Released 2019,July",156.8 x 74.5 x 8.7 mm (6.17 x 2.93 x 0.34 in),179 g (6.31 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
844,Xiaomi,Redmi Note 8,2019,August 29","Available. Released 2019,October 16",158.3 x 75.3 x 8.4 mm (6.23 x 2.96 x 0.33 in),190 (6.70 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
845,Xiaomi,Mi 9T Pro,2019,August 21","Available. Released 2019,August 21",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
846,Xiaomi,Mi 9T,2019,June 12","Available. Released 2019,June 12",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
847,Xiaomi,Redmi K20,2019,May","Available. Released 2019,June",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
848,Xiaomi,Redmi K20 Pro,2019,May 28","Available. Released 2019,June 01",156.7 x 74.3 x 8.8 mm (6.17 x 2.93 x 0.35 in),191 g (6.74 oz),"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors"
849,Xiaomi,Redmi Note 7S,2019,May","Available. Released 2019,May",159.2 x 75.2 x 8.1 mm (6.27 x 2.96 x 0.32 in),186 g (6.56 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
850,Xiaomi,Redmi Y3,2019,April","Available. Released 2019,April",158.7 x 75.6 x 8.5 mm (6.25 x 2.98 x 0.33 in),180 g (6.35 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
851,Xiaomi,Redmi 5 Plus (Redmi Note 5),2018,February","Available. Released 2018,February",158.5 x 75.5 x 8.1 mm (6.24 x 2.97 x 0.32 in),180 g (6.35 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
852,Xiaomi,Mi Max 4,,Cancelled,,,"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors","7.2 inches,128.3 cm"
853,Xiaomi,Mi Max 4 Pro,,Cancelled,,,"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors","7.2 inches,128.3 cm"
854,Xiaomi,Mi 9X,,Cancelled,,,"Dual SIM (Nano-SIM,dual stand-by)","Super AMOLED capacitive touchscreen,16M colors","6.39 inches,100.2 cm"
855,Yezz,Max 1 Plus,2019,August","Available. Released 2019,September",148.7 x 70.9 x 8.9 mm (5.85 x 2.79 x 0.35 in),104.9 g (3.70 oz),"Dual SIM (Nano-SIM,dual stand-by)","TFT capacitive touchscreen,16M colors"
856,Yezz,LIV1,2019,August","Available. Released 2019,September",138.5 x 65.8 x 9.5 mm (5.45 x 2.59 x 0.37 in),133.3 g (4.69 oz),"Dual SIM (Nano-SIM,dual stand-by)","TFT capacitive touchscreen,16M colors"
857,ZTE,nubia Red Magic 5G Lite,2020,June 19","Available. Released 2020,June 19",171.7 x 78.5 x 9.1 mm (6.76 x 3.09 x 0.36 in),215 g (7.58 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
858,ZTE,nubia Play,2020,April 21","Available. Released 2020,April 24",171.7 x 78.5 x 9.1 mm (6.76 x 3.09 x 0.36 in),210 g (7.41 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
859,ZTE,Axon 11 4G,2020,June 04","Available. Released 2020,June 17",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),168 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
860,ZTE,Axon 11 5G,2020,March 23","Available. Released 2020,March 30",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),168 g (5.93 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
861,ZTE,nubia Red Magic 5G,2020,March 12","Available. Released 2020,March 19",168.6 x 78 x 9.8 mm (6.64 x 3.07 x 0.39 in),218 g (7.69 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
862,ZTE,Axon 10s Pro 5G,2020,February 06",Discontinued,159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),175 g (6.17 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors","6.47 inches
863,ZTE,Blade Max View,2019,Available. Released 2019,163.1 x 74.9 x 8.1 mm (6.42 x 2.95 x 0.32 in),160 g (5.64 oz),Nano-SIM,"IPS LCD capacitive touchscreen,16M colors","6.0 inches,92.9 cm (~76.0% screen-to-body ratio)","1080 x 2160 pixels
864,ZTE,Blade A7 Prime,2019,November","Available. Released 2019,November",156.7 x 72.9 x 8.1 mm (6.17 x 2.87 x 0.32 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
865,ZTE,Blade 10 Prime,2019,November","Available. Released 2019,November",158 x 75.2 x 7.9 mm (6.22 x 2.96 x 0.31 in),165 g (5.82 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
866,ZTE,Blade 20,2019,October","Available. Released 2019,October",162.9 x 76.6 x 9 mm (6.41 x 3.02 x 0.35 in),190 g (6.70 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
867,ZTE,nubia Red Magic 3s,2019,September","Available. Released 2019,September",171.7 x 78.5 x 9.7 mm (6.76 x 3.09 x 0.38 in),215 g (7.58 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
868,ZTE,nubia Z20,2019,August","Available. Released 2019,August",158.6 x 75.3 x 9 mm (6.24 x 2.96 x 0.35 in),186 g (6.56 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
869,ZTE,nubia X 5G,2019,July",Cancelled,,,"Dual SIM (Nano-SIM,dual stand-by)","LTPS IPS LCD capacitive touchscreen,16M colors","6.26 inches
870,ZTE,Blade A5 (2019),2019,May","Available. Released 2019,May",145.8 x 70 x 9.6 mm (5.74 x 2.76 x 0.38 in),157 g (5.54 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
871,ZTE,Blade A3 (2019),2019,April","Available. Released 2019,April",137.4 x 67.5 x 10.5 mm (5.41 x 2.66 x 0.41 in),144 g (5.08 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
872,ZTE,Blade L8,2019,April","Available. Released 2019,April",137.4 x 67.5 x 10.5 mm (5.41 x 2.66 x 0.41 in),144 g (5.08 oz),"Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
873,ZTE,nubia Red Magic 3,2019,May","Available. Released 2019,May",171.7 x 78.5 x 9.7 mm (6.76 x 3.09 x 0.38 in),215 g (7.58 oz),"Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
874,ZTE,Axon 10 Pro,2019,February","Available. Released 2019,May",159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in),175 g (6.17 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","AMOLED capacitive touchscreen,16M colors"
875,ZTE,Blade V10 Vita,2019,February","Available. Released 2019,March",157.1 x 75.8 x 8.1 mm (6.19 x 2.98 x 0.32 in),150 g (5.29 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
876,ZTE,Blade A7 Vita,2018,December","Available. Released 2018,December",147 x 69.5 x 7.9 mm (5.79 x 2.74 x 0.31 in),135 g (4.76 oz),"Hybrid Dual SIM (Nano-SIM,dual stand-by)","IPS LCD capacitive touchscreen,16M colors"
877,ZTE,Blade A7,2019,May","Available. Released 2019,May",154 x 72.8 x 7.9 mm (6.06 x 2.87 x 0.31 in),146 g (5.15 oz),Dual SIM,"IPS LCD capacitive touchscreen,16M colors","6.01 inches
878,ZTE,V889M,2012,November. Released 2012,December",Discontinued,120.5 x 63.6 x 11.9 mm (4.74 x 2.50 x 0.47 in),,Dual SIM (Mini-SIM),TFT capacitive touchscreen,"4.0 inches,45.5 cm (~59.4% screen-to-body ratio)"
879,ZTE,N880E,2012,May. Released 2012,May",Discontinued,119 x 61 x 10.4 mm (4.69 x 2.40 x 0.41 in),130 g (4.59 oz),Mini-SIM,TFT capacitive touchscreen,"4.0 inches,45.5 cm (~62.7% screen-to-body ratio)"
880,ZTE,Skate Acqua,2012,February. Released 2012,Q4",Discontinued,,,Mini-SIM,"TFT capacitive touchscreen,65K colors","4.0 inches
881,ZTE,Sage,2010,Discontinued,93 x 49 x 13.5 mm (3.66 x 1.93 x 0.53 in),80 g (2.82 oz),Mini-SIM,"TFT resistive touchscreen,65K colors",,,V1
882,Benefon,Vega,1999,Discontinued,145 x 56 x 23 mm (5.71 x 2.20 x 0.91 in),190 g (6.70 oz),Mini-SIM,Monochrome graphic,,6 lines,V1,
883,Garmin-Asus,nuvifone M10,2010,January. Released 2010,March",Discontinued,,,Mini-SIM,"TFT resistive touchscreen,65K colors","3.5 inches
884,Gigabyte,GSmart G1305 Boston,2010,April. Released 2010,April",Discontinued,116 x 56.8 x 12.4 mm (4.57 x 2.24 x 0.49 in),118 g (4.16 oz),Mini-SIM,"TFT capacitive touchscreen,256K colors","3.2 inches
885,Gigabyte,GSmart,,Cancelled,103 x 54 x 13.4 mm (4.06 x 2.13 x 0.53 in),,Mini-SIM,"TFT capacitive touchscreen,256K colors","2.8 inches,24.3 cm (~43.7% screen-to-body ratio)","240 x 320 pixels
886,Google,Pixel 4 XL,2019,October 15","Available. Released 2019,October 22",160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in),193 g (6.81 oz),Nano-SIM card & eSIM,"P-OLED capacitive touchscreen,16M colors","6.3 inches
887,Google,Pixel 4,2019,October 15","Available. Released 2019,October 22",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162 g (5.71 oz),Nano-SIM card & eSIM,"P-OLED capacitive touchscreen,16M colors","5.7 inches
888,Google,Pixel 3a XL,2019,May 07","Available. Released 2019,May 15",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167 g (5.89 oz),"Nano-SIM,eSIM","OLED capacitive touchscreen,16M colors"
889,Google,Pixel 3a,2019,May 07","Available. Released 2019,May 15",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147 g (5.19 oz),Nano-SIM,"OLED capacitive touchscreen,16M colors","5.6 inches
890,Haier,N60,2005,Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),131 g (4.62 oz),Mini-SIM,"TFT resistive touchscreen,256K colors",,"320 x 240 pixels
891,Haier,T3000,2005,Q1",Discontinued,85 x 45 x 23.5 mm (3.35 x 1.77 x 0.93 in),85 g (3.00 oz),Mini-SIM,65K colors,,128 x 160 pixels,V1
892,Haier,V280,2005,Discontinued,109 x 44 x 14.5 mm (4.29 x 1.73 x 0.57 in),80 g (2.82 oz),Mini-SIM,65K colors,,128 x 160 pixels,V1,
